Crop Name,"Nitrogen(LOW,MEDIUM,HIGH)","Phosphorous(LOW,MEDIUM,HIGH)","Potassium(LOW,MEDIUM,HIGH)","OrganicCarbon(LOW,MEDIUM,HIGH)","Ph(NEUTRAL, ALKALINE, ACIDIC)","Electrical Conductivity(NON-SALINE, SALINE)","Sulphur(LOW,MEDIUM,HIGH)","Iron(LOW,MEDIUM,HIGH)","Zinc(LOW,MEDIUM,HIGH)","Copper(LOW,MEDIUM,HIGH)","Boron(LOW,MEDIUM,HIGH)","Manganese(LOW,MEDIUM,HIGH)",Water Requirement(per acre),Duration(Days),Investment Capital(per acre),Nitrogen Depleted,Phosphorous Depleted,Potassium Depleted,OrganicCarbon Depleted,Sulphur Depleted,Iron Depleted,Zinc Depleted,Copper Depleted,Boron Depleted,Manganese Depleted,Yield in rs,Alluvial,Clayey,Loamy,Laterite,Red,Clay,Sandy loam,Black soil,Red loam,Well-drained,Clay loam,Kharif,Rabi,Intercrop,Yield per Acre (kg)
Rice,High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"12,000 - 15,000",110 - 150,"₹25,000 - ₹35,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,26000.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,"1,814 - 2,722 kg"
Wheat,High,Medium,Medium,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"4,500 - 6,500",120 - 150,"₹20,000 - ₹30,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,"1,134 - 1,588 kg"
Maize (Corn),High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Low,Medium,"5,000 - 7,000",90 - 120,"₹20,000 - ₹30,000",Yes,Yes,Yes,No,Yes,No,No,No,No,No,15000.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,"2,722 - 3,629 kg"
Cotton,Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"6,000 - 8,500",150 - 180,"₹30,000 - ₹40,000",Yes,Yes,Yes,No,Yes,No,No,No,No,No,50000.0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,227 - 453 kg
Sugarcane,High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"15,000 - 25,000",270 - 360,"₹50,000 - ₹60,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,80000.0,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,"9,072 - 13,607 kg"
Pulses,Low,Medium,Low,Medium,Neutral,Non-Saline,Low,Medium,Medium,Medium,Medium,Medium,"2,500 - 4,000",80 - 120,"₹10,000 - ₹20,000",No,Yes,Yes,No,Yes,No,No,No,No,No,25000.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,272 - 544 kg
Tomato,High,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,High,Medium,High,Medium,"6,000 - 8,000",90 - 120,"₹35,000 - ₹50,000",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,125000.0,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,"11,340 - 18,144 kg"
Onion,Medium,Medium,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,High,Medium,"5,000 - 7,500",90 - 120,"₹25,000 - ₹35,000",Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,60000.0,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,"4,536 - 9,072 kg"
Leafy Vegetables,High,Medium,Medium,High,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"7,000 - 9,500",30 - 60,"₹20,000 - ₹35,000",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,100000.0,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,"9,072 - 13,607 kg"
Potato,High,High,High,Medium,Neutral,Non-Saline,Medium,Medium,Medium,Medium,Medium,Medium,"6,500 - 9,000",90 - 120,"₹40,000 - ₹50,000",Yes,Yes,Yes,No,Yes,No,No,No,No,No,250000.0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,"9,072 - 13,607 kg"
